author,statement,source,date,target
Amy Sherman,Brian Kemp and Secretary of State Brad Raffensperger “perhaps in collusion with the Radical Left Democrats” are attempting to “unseat” U.S. Rep. Marjorie Taylor Greene.,Donald Trump,"April 22, 2022",false
Louis Jacobson,The Strategic Petroleum Reserve has “been mostly empty” for decades.,Donald Trump,"April 1, 2022",false
Jon Greenberg,"“You go to a store, they don’t have bread.”",Donald Trump,"March 30, 2022",false
Tom Kertscher,"""Hillary Clinton spied on President Trump.""",Donald Trump,"February 28, 2022",false
Jon Greenberg,Proposed changes to the Electoral Count act show Pence had the power and “could have overturned the election!”,Donald Trump,"February 1, 2022",false
Jill Terreri,"“In New York state, if you’re white, you have to go to the back of the line to get medical help.”",Donald Trump,"• January 27,",pants-fire
Amy Sherman,Democrats “are trying to ban voter ID.”,Donald Trump,"January 11, 2022",barely-true
PolitiFact Staff,"Gas prices were ""$1.86 when I left"" the White House.",Donald Trump,"December 8, 2021",false
Amy Sherman,Says Biden “didn’t win in Arizona. He lost in Arizona based on the forensic audit.”,Donald Trump,"September 28, 2021",pants-fire
Madeline Heim,“A Milwaukee election employee even acknowledged dropping off just the margin of ballots needed for a Biden win at 3 a.m.”,Donald Trump,"August 23, 2021",pants-fire
Tom Kertscher,"Says that in the 2020 presidential election in Maricopa County, Ariz., ""74,243 mail-in ballots were counted with 'no clear record of them being sent.'""",Donald Trump,"July 19, 2021",false
Gabrielle Settles,“There were no guns whatsoever” at the Capitol riot on Jan. 6.,Donald Trump,"July 13, 2021",false
Louis Jacobson,"""The person that shot Ashli Babbitt — boom — right through the head — just boom — there was no reason for that.""",Donald Trump,"July 8, 2021",false
D.L. Davis,“In 2020 we won (Wisconsin).”,Donald Trump,"July 6, 2021",pants-fire
Laura Schulte,Says Republican leaders “are working hard to cover up election corruption in Wisconsin.”,Donald Trump,"July 5, 2021",pants-fire
Amy Sherman,“Facts have now come out to show conclusively” that the 2020 presidential election wasn’t legitimate.,Donald Trump,"June 29, 2021",pants-fire
Amy Sherman,Georgia didn’t update its voter rolls prior to the 2020 presidential election; “this means we (you!) won the presidential election in Georgia.”,Donald Trump,"June 23, 2021",pants-fire
Amy Sherman,“Republican state senators” who started an audit of 2020 election results in Maricopa County are “exposing this fraud.”,Donald Trump,"June 9, 2021",false
Tom Kertscher,"""The entire Database of Maricopa County in Arizona has been DELETED!""",Donald Trump,"May 19, 2021",false
Tom Kertscher,"“Human trafficking and drugs” at the Mexico border have “doubled, tripled and quadrupled” since Joe Biden became president.",Donald Trump,"April 27, 2021",false
Jon Greenberg,"Says Deborah Birx “traveled a great distance to see her family for Thanksgiving, only to have them call the police and turn her in. She then ... resigned.”",Donald Trump,"March 30, 2021",half-true
Amy Sherman,"""We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.”",Donald Trump,"March 24, 2021",barely-true
Tom Kertscher,"Says he requested “10,000 National Guardsmen” for his Jan. 6 rally, but Nancy Pelosi “rejected it.”",Donald Trump,"March 2, 2021",false
Amy Sherman,HR 1 “automatically registers every welfare recipient to vote.”,Donald Trump,"March 2, 2021",barely-true
Miriam Valverde,"Says Joe Biden “has effectively ordered a shutdown of ICE, halting virtually all deportations, everyone, murderers, everybody, no more.”",Donald Trump,"March 1, 2021",false
Julia Shanahan,Says Joe Biden has plans to ban animal agriculture and gas-powered cars.,Donald Trump,"January 18, 2021",false
Daniel Funke,"""We won. We won in a landslide. This was a landslide.”",Donald Trump,"January 6, 2021",pants-fire
Bill McCarthy,"""They just happened to find 50,000 ballots (in the Georgia U.S. Senate runoff elections) late last night.""",Donald Trump,"January 6, 2021",pants-fire
Jon Greenberg,“The Vice President has the power to reject fraudulently chosen electors.”,Donald Trump,"January 5, 2021",false
Noah Y.,"“You had (4,925) out-of-state voters… in Georgia.”",Donald Trump,"• January 4,",false
Bill McCarthy,"After a “major water main break,” Georgia election workers counted “18,000 ballots, all for Biden” that they pulled from suitcases and with no election observers present.",Donald Trump,"January 4, 2021",pants-fire
Miriam Valverde,“We won Georgia easily. We won it by hundreds of thousands of votes.”,Donald Trump,"January 4, 2021",pants-fire
Paul Egan,"“68% error rate in Michigan Voting Machines. Should be, by law, a tiny percentage of one percent.”",Donald Trump,"December 15, 2020",false
Victoria Knight,The percentage of Americans with natural immunity from getting COVID-19 is “a very powerful vaccine in itself.”,Donald Trump,"December 15, 2020",false
Amy Sherman,“No candidate has ever won both Florida and Ohio and lost.”,Donald Trump,"December 10, 2020",pants-fire
Eric Litke,"“In Wisconsin, there are approximately 70,000 absentee ballots that do not have matching ballot applications as required by law.”",Donald Trump,"December 10, 2020",pants-fire
D.L. Davis,"“Actually, I won Wisconsin.”",Donald Trump,"December 9, 2020",pants-fire
Amy Sherman,“No state in the country verifies United States citizenship as a condition for voting in federal elections.”,Donald Trump,"December 7, 2020",barely-true
Eric Litke,Residents the Wisconsin Election Commission suspected of moving are “illegal voters.”,Donald Trump,"December 4, 2020",false
Jon Greenberg,"“In certain swing states, there were more votes than people who voted, and in big numbers.”",Donald Trump,"November 23, 2020",pants-fire
Eric Litke,"""A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM (in Wisconsin), when they learned he was losing badly. This is unbelievable!""",Donald Trump,"November 20, 2020",pants-fire
Jessica Calefati,A 1993 example of voter fraud in Philadelphia is “exactly what happened to us” in the 2020 election.,Donald Trump,"November 19, 2020",pants-fire
Bill McCarthy,"""Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy.""",Donald Trump,"November 18, 2020",false
Noah Y.,"“The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were massive improprieties and fraud.""",Donald Trump,"• November 18,",pants-fire
Clara Hendrickson,“Michigan just refused to certify the election results!”,Donald Trump,"November 18, 2020",false
Jon Greenberg,Says Georgia’s secretary of state won’t let the people recounting ballots check the signatures for fraud.,Donald Trump,"November 18, 2020",pants-fire
Bill McCarthy,“Pennsylvania and Michigan didn’t allow our poll watchers and/or vote observers to watch or observe.”,Donald Trump,"November 12, 2020",pants-fire
Daniel Funke,Dominion Voting Systems “deleted 2.7 million Trump votes nationwide.”,Donald Trump,"November 12, 2020",pants-fire
Chris Nichols,"Video shows California election workers ""cheating"" by collecting ballots from drop box on Nov. 4.",Donald Trump,"November 11, 2020",false
Amy Sherman,"“If you count the legal votes, I easily win. If you count the illegal votes, they can try to steal the election from us.”",Donald Trump,"November 6, 2020",pants-fire
Louis Jacobson,"“Last night I was leading, often solidly, in many key States, in almost all instances Democrat run & controlled. Then, one by one, they started to magically disappear as surprise ballot dumps were counted.”",Donald Trump,"November 4, 2020",false
Louis Jacobson,“We already have won” the election.,Donald Trump,"November 4, 2020",pants-fire
Miriam Valverde,Says his supporters were “protecting” Joe Biden’s campaign bus in Texas.,Donald Trump,"November 1, 2020",pants-fire
Amy Sherman,"“Joe Biden and Kamala Harris’ government-run health care plan… could lead to hospitals being closed, put Medicare coverage at risk, and give benefits to illegal immigrants.”",Donald Trump,"November 1, 2020",barely-true
Miriam Valverde,“Joe Biden called Black youth super predators.”,Donald Trump,"November 1, 2020",false
Jon Greenberg,"“Our doctors get more money if somebody dies from COVID. … So what they do is they say, ‘I'm sorry, but, you know, everybody dies of COVID.’""",Donald Trump,"November 1, 2020",false
Jon Greenberg,“Nobody's ever seen a number like this… (33.1%) economic growth is four times greater than what the experts expected.”,Donald Trump,"October 30, 2020",half-true
Jon Greenberg,"“When asked about court-packing, Biden's staff immediately escorts the camera out.”",Donald Trump,"October 29, 2020",false
Louis Jacobson,"Counting ballots for weeks after Election Day “is totally inappropriate, and I don't believe that's by our laws.""",Donald Trump,"October 28, 2020",pants-fire
Amy Sherman,"“In Nevada, they want to have a thing where you don’t have to have any verification of the signature” on ballots.",Donald Trump,"October 28, 2020",false
Jon Greenberg,Says North Carolina just landed an auto plant.,Donald Trump,"October 28, 2020",false
Jessica Calefati,“Joe Biden confirmed his plan to abolish the entire U.S. oil industry.”,Donald Trump,"October 28, 2020",false
Bill McCarthy,"“President Obama would never give them long-term funding, and I did … I saved historically Black colleges and universities.”",Donald Trump,"October 27, 2020",barely-true
Miriam Valverde,Says Joe Biden said “Why am I doing this? Why? What is my real aim?”,Donald Trump,"October 27, 2020",false
Eric Litke,U.S. is “really not doing (COVID-19) reporting right” because deaths are being improperly counted and hospitals have an “incentive” to pad stats.,Donald Trump,"October 27, 2020",false
Daniel Funke,“CAN I CHANGE MY VOTE? ... The answer in most states is YES.”,Donald Trump,"October 27, 2020",barely-true
Bill McCarthy,"""We have a mayor in D.C. who formed a commission with recommendations. Her recommendation is: Take down the Washington Monument, close up the Lincoln Monument.""",Donald Trump,"October 26, 2020",barely-true
Clara Hendrickson,Michigan has been “like a prison” during the coronavirus.,Donald Trump,"October 23, 2020",false
Eric Litke,"Foxconn hasn't hit job targets on its massive Wisconsin factory because ""No. 1, you had a pandemic.""",Donald Trump,"October 23, 2020",false
Victoria Knight,"“They have 180 million people, families under what he wants to do, which will basically be socialized medicine — you won’t even have a choice — they want to terminate 180 million plans.”",Donald Trump,"October 23, 2020",pants-fire
Samantha Putterman,"“When I closed (travel from China) he said I should not have closed. ...He said this is a terrible thing, you are a xenophobe, I think he called me racist. Now he says I should have closed it earlier.”",Donald Trump,"October 23, 2020",barely-true
Louis Jacobson,"""We are rounding the turn (on coronavirus). We are rounding the corner.""",Donald Trump,"October 23, 2020",false
Jessica Calefati,Pennsylvania “never opened.”,Donald Trump,"October 22, 2020",false
Amy Sherman,“Phony” ballots “were printed without my name on it.”,Donald Trump,"October 21, 2020",barely-true
Bill McCarthy,Says Joe Biden repeatedly told Americans he's going to raise their taxes.,Donald Trump,"October 21, 2020",false
Victoria Knight,“We saved 2 million people” from dying of COVID-19.,Donald Trump,"October 21, 2020",barely-true
Miriam Valverde,"Speaking of the federal debt before the coronavirus pandemic, “we were starting to get that number down.”",Donald Trump,"October 19, 2020",false
Miriam Valverde,"Changes to DACA during his administration are ""because of the pandemic.""",Donald Trump,"October 15, 2020",false
Victoria Knight,“The World Health Organization just admitted that I was right. Lockdowns are killing countries all over the world. The cure cannot be worse than the problem itself.”,Donald Trump,"October 15, 2020",false
Amy Sherman,Says Joe Biden is a socialist.,Donald Trump,"October 15, 2020",false
Jessica Calefati,“We’re putting our great coal miners back to work.”,Donald Trump,"October 14, 2020",barely-true
Louis Jacobson,"""Biden's plan is a 14% tax hike on middle class families.""",Donald Trump,"October 13, 2020",false
Bill McCarthy,"Says Dr. Anthony Fauci said of Trump’s pandemic response, “I can’t imagine that … anybody could be doing more.”",Donald Trump,"October 11, 2020",barely-true
Samantha Putterman,The Commission on Presidential Debates wrote a letter after the 2016 presidential debates apologizing to Donald Trump.,Donald Trump,"October 9, 2020",false
Eric Litke,Says ballots in Wisconsin “are being dumped in rivers” or creeks.,Donald Trump,"October 9, 2020",false
Daniel Funke,"""Dems want to shut your churches down, permanently. Hope you see what is happening.""",Donald Trump,"October 7, 2020",pants-fire
Jon Greenberg,"“Many people every year, sometimes over 100,000, and despite the vaccine, die from the flu … we are learning to live with Covid, in most populations far less lethal.""",Donald Trump,"October 6, 2020",false
Madeline Heim,“I brought back Big Ten football.”,Donald Trump,"October 6, 2020",barely-true
Jon Greenberg,President Barack Obama and Vice President Joe Biden “left me 128 judges to fill. You just don’t do that.”,Donald Trump,"October 2, 2020",barely-true
Bill McCarthy,"Says Joe Biden “passed a tax bill that gave us all these privileges for depreciation and for tax credits. We built a building, and we get tax credits like the hotel on Pennsylvania Ave.”",Donald Trump,"October 1, 2020",half-true
Samantha Putterman,"""Last week Joe Biden flashed the ‘white power’ sign. President Trump condemned white supremacists yesterday. Why hasn't Joe Biden?”",Donald Trump,"October 1, 2020",pants-fire
Jessica Calefati,Poll watchers in Philadelphia “were thrown out.”,Donald Trump,"October 1, 2020",false
Louis Jacobson,"Before the coronavirus pandemic, the United States had “the greatest economy in the history of our country.”",Donald Trump,"October 1, 2020",false
Julie Appleby,"“For example, when the COVID-19 pandemic hit, my Administration implemented a program to provide any individual without health-insurance coverage access to necessary COVID‑19‑related testing and treatment.”",Donald Trump,"October 1, 2020",mostly-true
Louis Jacobson,"In manufacturing, ""I brought back 700,000 jobs. (Obama and Biden) brought back nothing.""",Donald Trump,"September 30, 2020",false
Jon Greenberg,"Says Joe Biden “had 308,000 military people dying because you couldn’t provide them proper healthcare in the military.”",Donald Trump,"September 30, 2020",false
Noah Y.,"""You said you went to Delaware State but you forgot the name of your college.""",Donald Trump,"• September 29,",false
Laura Schulte,"Says under U.S. Rep. Alexandria Ocasio-Cortez’s Green New Deal proposal, “Cows are out.”",Donald Trump,"September 28, 2020",false
Jessica Calefati,"Says Joe Biden's plan for net-zero emissions ""would instantly shut down all fracking and all mining immediately in Pennsylvania.""",Donald Trump,"September 25, 2020",false
Miriam Valverde,Says Joe Biden “tried to cut Social Security and Medicare for decades. … Now Biden’s promising your benefits to illegal immigrants.”,Donald Trump,"September 24, 2020",barely-true
Paul Specht,Says “some people in the Great State of North Carolina have been sent TWO BALLOTS. RIGGED ELECTION in waiting!”,Donald Trump,"September 22, 2020",barely-true
Bill McCarthy,Says Joe Biden played N.W.A.’s “F--- Tha Police” during an event in Florida.,Donald Trump,"September 16, 2020",pants-fire
Jon Greenberg,"""After the last administration nearly killed the US auto industry, I saved the U.S. auto industry ... We brought you a lot of car plants… (and Japan) “announced five car companies are coming to Michigan.”",Donald Trump,"September 11, 2020",false
Miriam Valverde,Says Joe Biden “will destroy your protections for pre-existing conditions.”,Donald Trump,"September 11, 2020",pants-fire
Jill Terreri,“There was tremendous cheating in New York”,Donald Trump,"• September 11,",pants-fire
Amy Sherman,"Election officials are “sending 80 million ballots all over the country. Eighty million ballots, non-requested. I call them ‘unsolicited ballots.’”",Donald Trump,"September 10, 2020",barely-true
Louis Jacobson,"""Under Operation Warp Speed, we’ve pioneered groundbreaking therapies, reducing the fatality rate 85% since April.”",Donald Trump,"September 9, 2020",half-true
Louis Jacobson,"""I never called John (McCain) a loser.""",Donald Trump,"September 4, 2020",pants-fire
Madeline Heim,"“Biden failed to condemn far-left violent groups like Antifa, instead faulting only the brave men and women of law enforcement.”",Donald Trump,"September 3, 2020",false
Daniel Funke,“Only 6% of the people actually died from COVID.” The others “died from other reasons.”,Donald Trump,"September 3, 2020",pants-fire
Bill McCarthy,“The entire city (of Portland) is ablaze all the time.”,Donald Trump,"September 1, 2020",false
Haley BeMiller,"Says video shows Kyle Rittenhouse, the 17-year-old charged with killing two protesters in Kenosha, ""was trying to get away from them"" ... ""fell, and then they violently attacked him.""",Donald Trump,"September 1, 2020",false
Eric Litke,"“If I didn’t INSIST on having the National Guard activate and go into Kenosha, Wisconsin, there would be no Kenosha right now.”",Donald Trump,"September 1, 2020",pants-fire
Jill Terreri,“Cuomo ended cash bail ... and now the crime rate has gone through the roof.”,Donald Trump,"• August 29,",false
Jessica Calefati,Says Joe Biden “abandoned Scranton.”,Donald Trump,"August 29, 2020",pants-fire
Miriam Valverde,Says Joe Biden “is even talking about taking the wall down.”,Donald Trump,"August 28, 2020",false
Louis Jacobson,"“So this is just a way they’re trying to steal the election, and everybody knows that. Because the only way they’re going to win is by a rigged election.”",Donald Trump,"August 24, 2020",pants-fire
Jon Greenberg,"Says President Barack Obama “spied on my campaign, and got caught!”",Donald Trump,"August 20, 2020",false
Noah Y.,Goodyear Tires “announced a BAN ON MAGA HATS…This is what the Radical Left Democrats do.”,Donald Trump,"• August 19,",barely-true
Bill McCarthy,"The coronavirus has seen a “big surge in New Zealand. It's terrible. We don't want that.""",Donald Trump,"August 18, 2020",false
